CD_MUN,NM_MUN,CD_RGI,NM_RGI,CD_RGINT,NM_RGINT,CD_UF,NM_UF,SIGLA_UF,CD_REGIA,NM_REGIA,SIGLA_RG,CD_CONCU,NM_CONCU,AREA_KM2,N_LINHAS
"4317558",Santo Antônio do Palma,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,126.093999999999994,1
"4311429",Lajeado do Bugre,"430034",Palmeira das Missões,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,67.947000000000003,1
"4318002",São Borja,"430017",São Borja,"4304",Uruguaiana,"43",Rio Grande do Sul,RS,"4",Sul,S,,,3616.673999999999978,4
"4308607",Garibaldi,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,"4302105",Bento Gonçalves/RS,168.491999999999990,4
"4311403",Lajeado,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,"4311403",Lajeado/RS,90.801000000000002,3
"4318051",São Domingos do Sul,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,78.670000000000002,1
"4313201",Nova Petrópolis,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,290.163999999999987,4
"4320206",Seberi,"430029",Frederico Westphalen,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,301.031999999999982,1
"4308656",Garruchos,"430022",São Luiz Gonzaga,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,803.970000000000027,4
"4307708",Esteio,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,27.675999999999998,1
"4314506",Pinheiro Machado,"430010",Bagé,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,2249.175999999999931,6
"4304507",Canguçu,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,3526.315999999999804,3
"4319356",São Pedro da Serra,"430007",Montenegro,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,37.631000000000000,1
"4314548",Pinto Bandeira,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,"4302105",Bento Gonçalves/RS,104.801000000000002,5
"4321501",Torres,"430008",Torres,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,161.629999999999995,2
"4307302",Erval Seco,"430029",Frederico Westphalen,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,357.180999999999983,3
"4315800",Roca Sales,"430043",Encantado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,208.108000000000004,1
"4309100",Gramado,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,239.341000000000008,1
"4322806",Veranópolis,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,289.396999999999991,10
"4318903",São Luiz Gonzaga,"430022",São Luiz Gonzaga,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1296.772999999999911,6
"4306056",Cristal,"430005",Camaquã,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,679.741999999999962,6
"4322855",Vespasiano Corrêa,"430043",Encantado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,113.622000000000000,1
"4310207",Ijuí,"430018",Ijuí,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,688.981999999999971,2
"4323309",Vila Flores,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,107.703000000000003,5
"4305009",Catuípe,"430018",Ijuí,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,583.179999999999950,2
"4323358",Vila Lângaro,"430032",Tapejara - Sananduva,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,151.673000000000002,1
"4317608",Santo Antônio da Patrulha,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1049.583000000000084,6
"4309159",Gramado Xavier,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,216.789999999999992,2
"4306908",Encruzilhada do Sul,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,3347.860999999999876,3
"4306957",Entre Rios do Sul,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,119.912000000000006,3
"4322004",Triunfo,"430006",Charqueadas - Triunfo - São Jerônimo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,817.807000000000016,17
"4320701",Sobradinho,"430042",Sobradinho,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,128.823000000000008,3
"4312807",Nova Araçá,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,75.513999999999996,1
"4314605",Piratini,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,3538.300000000000182,5
"4306932",Entre-Ijuís,"430020",Santo Ângelo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,553.914999999999964,2
"4304606",Canoas,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,130.774000000000001,21
"4319406",São Pedro do Sul,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,873.394000000000005,1
"4306973",Erebango,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,152.793000000000006,1
"4313300",Nova Prata,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,259.940999999999974,6
"4313359",Nova Roma do Sul,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,149.766999999999996,4
"4303301",Caibaté,"430022",São Luiz Gonzaga,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,261.279999999999973,3
"4304622",Capão Bonito do Sul,"430033",Lagoa Vermelha,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,526.850000000000023,3
"4323804",Xangri-lá,"430003",Tramandaí - Osório,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,60.756000000000000,3
"4307401",Esmeralda,"430039",Vacaria,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,829.586999999999989,1
"4313334",Nova Ramada,"430018",Ijuí,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,255.264000000000010,1
"4304630",Capão da Canoa,"430003",Tramandaí - Osório,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,98.382999999999996,1
"4306106",Cruz Alta,"430027",Cruz Alta,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1360.548000000000002,2
"4304689",Capela de Santana,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,182.756000000000000,3
"4304663",Capão do Leão,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314407",Pelotas/RS,783.196000000000026,6
"4304671",Capivari do Sul,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,412.889000000000010,3
"4313375",Nova Santa Rita,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,218.093999999999994,24
"4306130",Cruzaltense,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,166.883000000000010,3
"4302006",Barros Cassal,"430031",Soledade,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,647.994000000000028,2
"4305587",Colinas,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,60.731999999999999,1
"4315958",Rolador,"430022",São Luiz Gonzaga,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,295.201000000000022,2
"4309209",Gravataí,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,468.288000000000011,25
"4309258",Guabiju,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,146.925000000000011,1
"4310751",Ivorá,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,122.930000000000007,1
"4322541",Vale Real,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,"4305108",Caxias do Sul/RS,45.085000000000001,5
"4321204",Taquara,"430004",Taquara - Parobé - Igrejinha,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4321204",Taquara - Parobé - Igrejinha/RS,450.194999999999993,3
"4322525",Vale Verde,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,329.726999999999975,3
"4303806",Campinas do Sul,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,276.161999999999978,3
"4323002",Viamão,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,1496.019000000000005,6
"4322533",Vale do Sol,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,329.389000000000010,3
"4320800",Soledade,"430031",Soledade,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1215.056000000000040,1
"4317707",Santo Antônio das Missões,"430022",São Luiz Gonzaga,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1710.465999999999894,3
"4318622",São José dos Ausentes,"430039",Vacaria,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1173.906999999999925,1
"4316402",Rosário do Sul,"430016",Santana do Livramento,"4304",Uruguaiana,"43",Rio Grande do Sul,RS,"4",Sul,S,,,4343.655999999999949,3
"4308805",General Câmara,"430006",Charqueadas - Triunfo - São Jerônimo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,510.009999999999991,3
"4320859",Tabaí,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,94.754000000000005,1
"4302501",Bossoroca,"430022",São Luiz Gonzaga,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1610.056000000000040,3
"4317301",Santa Vitória do Palmar,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,5206.976999999999862,4
"4319109",São Martinho,"430021",Três Passos,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,171.245000000000005,1
"4311205",Júlio de Castilhos,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1929.544000000000096,2
"4301206",Arroio do Tigre,"430042",Sobradinho,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,315.132000000000005,3
"4311254",Lagoão,"430042",Sobradinho,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,387.452999999999975,2
"4310801",Ivoti,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,63.091999999999999,3
"4320008",Sapucaia do Sul,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,58.247000000000000,3
"4319125",São Martinho da Serra,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,669.547000000000025,1
"4300802",Antônio Prado,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,347.540999999999997,2
"4308458",Fortaleza dos Valos,"430027",Cruz Alta,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,650.511999999999944,1
"4319158",São Miguel das Missões,"430020",Santo Ângelo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1228.910000000000082,1
"4309753",Ibarama,"430042",Sobradinho,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,195.425999999999988,3
"4316907",Santa Maria,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,"4316907",Santa Maria/RS,1780.193999999999960,6
"4311270",Lagoa dos Três Cantos,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,138.602000000000004,1
"4310850",Jaboticaba,"430029",Frederico Westphalen,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,127.588999999999999,3
"4304358",Candiota,"430010",Bagé,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,"4301602",Bagé/RS,933.628000000000043,14
"4321303",Taquari,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,349.966999999999985,5
"4303004",Cachoeira do Sul,"430013",Cachoeira do Sul,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,3736.063999999999851,1
"4313060",Nova Hartz,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,62.088000000000001,1
"4307104",Herval,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1759.717000000000098,1
"4315602",Rio Grande,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,"4315602",Rio Grande,2682.867000000000189,9
"4316956",Santa Maria do Herval,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,140.437000000000012,2
"4310876",Jacuizinho,"430027",Cruz Alta,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,339.399000000000001,3
"4322608",Venâncio Aires,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,772.701000000000022,7
"4300877",Araricá,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,35.195000000000000,1
"4318705",São Leopoldo,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,103.009000000000000,6
"4303905",Campo Bom,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,60.561999999999998,6
"4320909",Tapejara,"430032",Tapejara - Sananduva,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,238.081999999999994,2
"4306700",Dona Francisca,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,114.149000000000001,2
"4300059",Água Santa,"430032",Tapejara - Sananduva,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,291.526000000000010,3
"4311304",Lagoa Vermelha,"430033",Lagoa Vermelha,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1272.724999999999909,4
"4301305",Arroio Grande,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,2508.556999999999789,1
"4300034",Aceguá,"430010",Bagé,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,"4301602",Bagé/RS,1551.338999999999942,1
"4320503",Sertão,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,440.630999999999972,5
"4312609",Muçum,"430043",Encantado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,111.247000000000000,1
"4312617",Muitos Capões,"430039",Vacaria,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1193.230000000000018,2
"4302600",Braga,"430021",Três Passos,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,132.044000000000011,1
"4314407",Pelotas,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314407",Pelotas/RS,1608.779999999999973,7
"4319208",São Nicolau,"430022",São Luiz Gonzaga,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,497.446000000000026,2
"4320578",Sete de Setembro,"430020",Santo Ângelo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,131.659999999999997,1
"4306767",Eldorado do Sul,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,509.632000000000005,16
"4312658",Não-Me-Toque,"430028",Carazinho,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,361.689000000000021,1
"4302659",Brochier,"430007",Montenegro,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,105.352999999999994,1
"4320552",Sertão Santana,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,252.013000000000005,5
"4313102",Nova Palma,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,314.613000000000000,4
"4314456",Pinhal,"430029",Frederico Westphalen,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,68.221999999999994,1
"4314423",Picada Café,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,84.280000000000001,2
"4321808",Três de Maio,"430023",Três de Maio,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,421.461000000000013,1
"4323606",Vista Alegre do Prata,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,119.326999999999998,3
"4315701",Rio Pardo,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,2051.112000000000080,1
"4304002",Campo Novo,"430021",Três Passos,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,220.718999999999994,1
"4321832",Três Forquilhas,"430008",Torres,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,217.385999999999996,1
"4314464",Pinhal da Serra,"430039",Vacaria,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,438.110000000000014,4
"4314472",Pinhal Grande,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,478.110000000000014,6
"4318804",São Lourenço do Sul,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,2039.257000000000062,5
"4314050",Parobé,"430004",Taquara - Parobé - Igrejinha,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4321204",Taquara - Parobé - Igrejinha/RS,108.560000000000002,2
"4310538",Itaara,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,"4316907",Santa Maria/RS,172.800999999999988,2
"4303103",Cachoeirinha,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,43.759999999999998,12
"4305371",Charrua,"430032",Tapejara - Sananduva,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,198.747999999999990,1
"4314035",Pareci Novo,"430007",Montenegro,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,57.484999999999999,1
"4309001",Giruá,"430020",Santo Ângelo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,855.559999999999945,4
"4305355",Charqueadas,"430006",Charqueadas - Triunfo - São Jerônimo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,217.361999999999995,11
"4300570",Alto Feliz,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,78.170000000000002,4
"4314068",Passa Sete,"430042",Sobradinho,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,304.298999999999978,3
"4314076",Passo do Sobrado,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,265.132999999999981,4
"4300554",Alto Alegre,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,115.334999999999994,1
"4309050",Glorinha,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,323.954999999999984,6
"4310553",Itacurubi,"430014",Santiago,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1120.249000000000024,2
"4318408",São Jerônimo,"430006",Charqueadas - Triunfo - São Jerônimo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,935.596000000000004,2
"4321006",Tapera,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,179.935000000000002,2
"4301800",Barracão,"430033",Lagoa Vermelha,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,515.469000000000051,2
"4311809",Marau,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,649.769999999999982,3
"4322350",União da Serra,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,131.153999999999996,1
"4322327",Turuçu,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,253.634999999999991,4
"4303608",Cambará do Sul,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1181.810999999999922,1
"4318440",São Jorge,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,125.730999999999995,1
"4317509",Santo Ângelo,"430020",Santo Ângelo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,678.501999999999953,12
"4304903",Casca,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,272.040999999999997,6
