Linha,Município
Linha 1,Santa Vitória do Palmar
Linha 7,Triunfo
Linha 7,Nova Santa Rita
Linha 7,Vale Verde
Linha 7,Vale do Sol
Linha 7,General Câmara
Linha 7,Taquari
Linha 7,Venâncio Aires
Linha 7,Passo do Sobrado
Linha 7,Montenegro
Linha 7,Candelária
Linha 7,Santa Cruz do Sul
Linha 7,Vera Cruz
Linha 8,Pinto Bandeira
Linha 8,Veranópolis
Linha 8,Farroupilha
Linha 8,Bento Gonçalves
Linha 9,Porto Alegre
Linha 9,Alvorada
Linha 10,Candiota
Linha 11,Cristal
Linha 11,Capão do Leão
Linha 11,Rio Grande
Linha 11,Pelotas
Linha 11,Eldorado do Sul
Linha 11,Sertão Santana
Linha 11,São Lourenço do Sul
Linha 11,Turuçu
Linha 11,Mariana Pimentel
Linha 11,Cerro Grande do Sul
Linha 11,Camaquã
Linha 12,Gravataí
Linha 13,São Borja
Linha 13,Itaqui
Linha 13,Maçambará
Linha 15,Caxias do Sul
Linha 16,Veranópolis
Linha 16,Vila Flores
Linha 16,Nova Prata
Linha 16,Fagundes Varela
Linha 17,Gravataí
Linha 17,Campo Bom
Linha 17,Novo Hamburgo
Linha 18,Palmares do Sul
Linha 18,Cidreira
Linha 18,Balneário Pinhal
Linha 18,Osório
Linha 19,Rio Grande
Linha 20,Osório
Linha 21,Gravataí
Linha 22,Cristal
Linha 22,Capão do Leão
Linha 22,Rio Grande
Linha 22,Pelotas
Linha 22,Eldorado do Sul
Linha 22,São Lourenço do Sul
Linha 22,Chuvisca
Linha 22,Mariana Pimentel
Linha 22,Cerro Grande do Sul
Linha 22,Guaíba
Linha 22,Camaquã
Linha 22,Barão do Triunfo
Linha 23,Triunfo
Linha 23,Vale Verde
Linha 23,General Câmara
Linha 23,Taquari
Linha 23,Venâncio Aires
Linha 23,Charqueadas
Linha 23,Passo do Sobrado
Linha 23,Santa Cruz do Sul
Linha 24,Nova Petrópolis
Linha 24,Gravataí
Linha 24,Santa Maria do Herval
Linha 24,Campo Bom
Linha 24,Picada Café
Linha 24,Dois Irmãos
Linha 24,Morro Reuter
Linha 24,Caxias do Sul
Linha 24,Sapiranga
Linha 24,Novo Hamburgo
Linha 25,Sertão Santana
Linha 25,Barra do Ribeiro
Linha 25,Mariana Pimentel
Linha 25,Sentinela do Sul
Linha 25,Guaíba
Linha 25,Camaquã
Linha 26,Veranópolis
Linha 26,Vila Flores
Linha 26,Nova Prata
Linha 26,Nova Roma do Sul
Linha 26,Guabiju
Linha 26,Tapejara
Linha 26,Água Santa
Linha 26,Charrua
Linha 26,São Jorge
Linha 26,Floriano Peixoto
Linha 26,Santa Cecília do Sul
Linha 26,Ciríaco
Linha 26,Erechim
Linha 26,Caxias do Sul
Linha 26,Farroupilha
Linha 26,Getúlio Vargas
Linha 26,David Canabarro
Linha 28,Canoas
Linha 29,Garruchos
Linha 29,São Luiz Gonzaga
Linha 29,Rolador
Linha 29,Santo Antônio das Missões
Linha 29,São Nicolau
Linha 29,Sete de Setembro
Linha 29,Santo Ângelo
Linha 29,Guarani das Missões
Linha 29,Cerro Largo
Linha 29,Dezesseis de Novembro
Linha 30,Garruchos
Linha 31,Capão Bonito do Sul
Linha 31,Antônio Prado
Linha 31,Lagoa Vermelha
Linha 31,Muitos Capões
Linha 31,Barracão
Linha 31,Campestre da Serra
Linha 31,Flores da Cunha
Linha 31,Caxias do Sul
Linha 31,Ipê
Linha 32,Cristal
Linha 32,Capão do Leão
Linha 32,Rio Grande
Linha 32,Pelotas
Linha 32,Eldorado do Sul
Linha 32,Sertão Santana
Linha 32,São Lourenço do Sul
Linha 32,Turuçu
Linha 32,Mariana Pimentel
Linha 32,Cerro Grande do Sul
Linha 32,Guaíba
Linha 32,Camaquã
Linha 32,Barão do Triunfo
Linha 33,Eldorado do Sul
Linha 33,Guaíba
Linha 34,Canoas
Linha 34,Porto Alegre
Linha 35,Cruz Alta
Linha 35,Fortaleza dos Valos
Linha 35,Salto do Jacuí
Linha 35,Boa Vista do Incra
Linha 36,Erval Seco
Linha 36,São Martinho
Linha 36,Braga
Linha 36,Três de Maio
Linha 36,Campo Novo
Linha 36,Giruá
Linha 36,São José do Inhacorá
Linha 36,Redentora
Linha 36,Santa Rosa
Linha 36,Independência
Linha 36,Alegria
Linha 37,Itaqui
Linha 37,Uruguaiana
Linha 37,Alegrete
Linha 38,Canoas
Linha 38,Nova Santa Rita
Linha 39,Rosário do Sul
Linha 39,Sant'Ana do Livramento
Linha 39,Alegrete
Linha 40,Porto Alegre
Linha 42,Veranópolis
Linha 42,Nova Roma do Sul
Linha 43,Porto Alegre
Linha 45,Caxias do Sul
Linha 46,Canoas
Linha 46,Cachoeirinha
Linha 47,Santo Antônio da Patrulha
Linha 47,Taquara
Linha 47,Osório
Linha 48,Uruguaiana
Linha 48,Alegrete
Linha 49,Nova Santa Rita
Linha 49,São Leopoldo
Linha 49,Novo Hamburgo
Linha 49,Portão
Linha 50,Vale Real
Linha 50,Ivoti
Linha 50,Campo Bom
Linha 50,Alto Feliz
Linha 50,São José do Hortêncio
Linha 50,Dois Irmãos
Linha 50,Caxias do Sul
Linha 50,Presidente Lucena
Linha 50,Farroupilha
Linha 50,Linha Nova
Linha 50,Feliz
Linha 51,Giruá
Linha 51,Santo Ângelo
Linha 51,Santa Rosa
Linha 52,Gravataí
Linha 53,Candiota
Linha 54,Veranópolis
Linha 56,Porto Alegre
Linha 57,Santa Vitória do Palmar
Linha 58,Cristal
Linha 58,Capão do Leão
Linha 58,Rio Grande
Linha 58,Pelotas
Linha 58,São Lourenço do Sul
Linha 58,Turuçu
Linha 58,Camaquã
Linha 59,Triunfo
Linha 59,Canoas
Linha 59,Nova Santa Rita
Linha 59,Eldorado do Sul
Linha 59,Guaíba
Linha 60,Caxias do Sul
Linha 61,Sant'Ana do Livramento
Linha 61,Bagé
Linha 61,Dom Pedrito
Linha 62,Nova Palma
Linha 62,Pinhal Grande
Linha 62,Estrela Velha
Linha 62,Agudo
Linha 63,Caxias do Sul
Linha 63,Farroupilha
Linha 65,Pinheiro Machado
Linha 65,Canguçu
Linha 65,Encruzilhada do Sul
Linha 65,Piratini
Linha 65,Candiota
Linha 65,Eldorado do Sul
Linha 65,São Jerônimo
Linha 65,Amaral Ferrador
Linha 65,Mariana Pimentel
Linha 65,Dom Feliciano
Linha 65,Arroio dos Ratos
Linha 65,Barão do Triunfo
Linha 66,Torres
Linha 68,Triunfo
Linha 68,Canoas
Linha 68,Nova Santa Rita
Linha 68,Charqueadas
Linha 69,Santo Antônio da Patrulha
Linha 69,Capivari do Sul
Linha 69,Gravataí
Linha 69,Glorinha
Linha 70,Torres
Linha 70,Xangri-lá
Linha 70,Capão da Canoa
Linha 70,Três Forquilhas
Linha 70,Dom Pedro de Alcântara
Linha 70,Três Cachoeiras
Linha 70,Terra de Areia
Linha 72,Gravataí
Linha 72,Viamão
Linha 72,Cachoeirinha
Linha 72,Porto Alegre
Linha 72,Alvorada
Linha 73,Porto Alegre
Linha 76,Nova Petrópolis
Linha 76,Vale Real
Linha 76,Ivoti
Linha 76,São Leopoldo
Linha 76,Picada Café
Linha 76,Alto Feliz
Linha 76,Dois Irmãos
Linha 76,Morro Reuter
Linha 76,Presidente Lucena
Linha 76,Novo Hamburgo
Linha 76,Farroupilha
Linha 76,Linha Nova
Linha 76,Estância Velha
Linha 76,Feliz
Linha 78,Santo Antônio da Patrulha
Linha 78,Triunfo
Linha 78,Capivari do Sul
Linha 78,Nova Santa Rita
Linha 78,Gravataí
Linha 78,Sapucaia do Sul
Linha 78,Eldorado do Sul
Linha 78,Charqueadas
Linha 78,Glorinha
Linha 78,Montenegro
Linha 78,Novo Hamburgo
Linha 78,Portão
Linha 79,Entre Rios do Sul
Linha 79,Cruzaltense
Linha 79,Campinas do Sul
Linha 79,Sertão
Linha 79,Passo Fundo
Linha 79,Pontão
Linha 79,Jacutinga
Linha 79,Quatro Irmãos
Linha 79,Coxilha
Linha 80,Nova Prata
Linha 81,Canoas
Linha 81,Gravataí
Linha 81,Cachoeirinha
Linha 82,Catuípe
Linha 82,Jaboticaba
Linha 82,Giruá
Linha 82,Santo Ângelo
Linha 82,Dois Irmãos das Missões
Linha 82,Chiapetta
Linha 82,Palmeira das Missões
Linha 82,Liberato Salzano
Linha 82,Novo Tiradentes
Linha 82,Santo Augusto
Linha 82,Boa Vista das Missões
Linha 82,Coronel Bicaco
Linha 84,Osório
Linha 85,São Pedro do Sul
Linha 85,Santa Maria
Linha 85,São Vicente do Sul
Linha 86,Triunfo
Linha 86,Nova Santa Rita
Linha 86,Eldorado do Sul
Linha 86,Charqueadas
Linha 86,Montenegro
Linha 87,São Borja
Linha 87,São Luiz Gonzaga
Linha 87,Caibaté
Linha 87,Bossoroca
Linha 87,Itacurubi
Linha 87,Santo Ângelo
Linha 87,Itaqui
Linha 87,Vitória das Missões
Linha 87,Maçambará
Linha 88,São Borja
Linha 88,São Luiz Gonzaga
Linha 88,Bossoroca
Linha 88,São Miguel das Missões
Linha 88,Itacurubi
Linha 88,Santo Ângelo
Linha 88,Itaqui
Linha 88,Vitória das Missões
Linha 88,Maçambará
Linha 89,Caxias do Sul
Linha 90,Canoas
Linha 90,Nova Santa Rita
Linha 91,Xangri-lá
Linha 91,Osório
Linha 92,Santo Ângelo
Linha 93,Candiota
Linha 94,Gravataí
Linha 94,Cachoeirinha
Linha 95,Canoas
Linha 96,Vale Real
Linha 96,Caxias do Sul
Linha 96,Farroupilha
Linha 97,Garibaldi
Linha 97,Colinas
Linha 97,Estrela
Linha 97,Imigrante
Linha 97,Boa Vista do Sul
Linha 98,São Leopoldo
Linha 99,Porto Alegre
Linha 100,Gravataí
Linha 100,Cachoeirinha
Linha 100,Porto Alegre
Linha 101,Ijuí
Linha 101,Entre-Ijuís
Linha 101,Santo Ângelo
Linha 101,Coronel Barros
Linha 102,Pinhal da Serra
Linha 104,Garibaldi
Linha 104,Farroupilha
Linha 104,Bento Gonçalves
Linha 105,Pinto Bandeira
Linha 105,Flores da Cunha
Linha 105,Caxias do Sul
Linha 105,Farroupilha
Linha 105,Bento Gonçalves
Linha 106,Porto Alegre
Linha 106,Alvorada
Linha 107,Gravataí
Linha 108,Capão Bonito do Sul
Linha 108,Esmeralda
Linha 108,Lagoa Vermelha
Linha 108,Pinhal da Serra
Linha 110,Candiota
Linha 111,Viamão
Linha 111,Alvorada
Linha 113,Candiota
Linha 113,Aceguá
Linha 113,Hulha Negra
Linha 114,Taquara
Linha 114,Araricá
Linha 114,Campo Bom
Linha 114,Parobé
Linha 114,Sapiranga
Linha 116,Santo Antônio do Palma
Linha 116,Garibaldi
Linha 116,São Domingos do Sul
Linha 116,São Pedro da Serra
Linha 116,Vila Lângaro
Linha 116,Nova Araçá
Linha 116,Capela de Santana
Linha 116,Nova Santa Rita
Linha 116,Tapejara
Linha 116,Água Santa
Linha 116,Sertão
Linha 116,Vista Alegre do Prata
Linha 116,Pareci Novo
Linha 116,Casca
Linha 116,Monte Belo do Sul
Linha 116,Montenegro
Linha 116,Ciríaco
Linha 116,Santa Tereza
Linha 116,Fagundes Varela
Linha 116,Erechim
Linha 116,São José do Sul
Linha 116,Nova Bassano
Linha 116,Barão
Linha 116,Gentil
Linha 116,Bento Gonçalves
Linha 116,Salvador do Sul
Linha 116,Carlos Barbosa
Linha 116,Getúlio Vargas
Linha 116,Paraí
Linha 116,Cotiporã
Linha 117,Rosário do Sul
Linha 117,Santa Maria
Linha 117,Sant'Ana do Livramento
Linha 117,Cacequi
Linha 117,São Gabriel
Linha 117,Dilermando de Aguiar
Linha 119,Triunfo
Linha 119,Nova Santa Rita
Linha 119,Eldorado do Sul
Linha 119,Sertão Santana
Linha 119,Charqueadas
Linha 119,Mariana Pimentel
Linha 119,Cerro Grande do Sul
Linha 119,Guaíba
Linha 119,Camaquã
Linha 120,Nova Petrópolis
Linha 120,Caxias do Sul
Linha 121,Caxias do Sul
Linha 121,Farroupilha
Linha 122,Pinheiro Machado
Linha 122,Piratini
Linha 122,Capão do Leão
Linha 122,Candiota
Linha 122,Pelotas
Linha 122,Cerrito
Linha 123,Sobradinho
Linha 123,Vale do Sol
Linha 123,Arroio do Tigre
Linha 123,Ibarama
Linha 123,Venâncio Aires
Linha 123,Pinhal Grande
Linha 123,Passa Sete
Linha 123,Passo do Sobrado
Linha 123,Estrela Velha
Linha 123,Candelária
Linha 123,Santa Cruz do Sul
Linha 123,Vera Cruz
Linha 124,Uruguaiana
Linha 125,Pinhal Grande
Linha 125,Estrela Velha
Linha 125,Salto do Jacuí
Linha 126,Nova Petrópolis
Linha 126,Gramado
Linha 126,Taquara
Linha 126,Nova Hartz
Linha 126,Santa Maria do Herval
Linha 126,Parobé
Linha 126,Três Coroas
Linha 126,Igrejinha
Linha 128,Santo Antônio da Patrulha
Linha 128,Gravataí
Linha 128,Glorinha
Linha 128,Osório
Linha 129,Eldorado do Sul
Linha 129,Guaíba
Linha 131,Santo Antônio da Patrulha
Linha 131,Glorinha
Linha 131,Osório
Linha 132,Cristal
Linha 132,Pelotas
Linha 132,São Lourenço do Sul
Linha 132,Turuçu
Linha 132,Camaquã
Linha 133,Sant'Ana do Livramento
Linha 133,Alegrete
Linha 133,Quaraí
Linha 134,Triunfo
Linha 134,Canoas
Linha 134,Nova Santa Rita
Linha 137,Entre Rios do Sul
Linha 137,Cruzaltense
Linha 137,Campinas do Sul
Linha 137,Sertão
Linha 137,Marau
Linha 137,Casca
Linha 137,Passo Fundo
Linha 137,Vila Maria
Linha 137,Mato Castelhano
Linha 137,Jacutinga
Linha 137,Quatro Irmãos
Linha 137,Coxilha
Linha 138,Santa Vitória do Palmar
Linha 138,Rio Grande
Linha 139,Esteio
Linha 139,Canoas
Linha 139,Nova Santa Rita
Linha 139,Sapucaia do Sul
Linha 143,Uruguaiana
Linha 144,Triunfo
Linha 144,Capela de Santana
Linha 144,São Leopoldo
Linha 144,Charqueadas
Linha 144,Montenegro
Linha 144,Portão
Linha 145,Sertão Santana
Linha 145,Barra do Ribeiro
Linha 145,Mariana Pimentel
Linha 145,Sentinela do Sul
Linha 145,Guaíba
Linha 145,Camaquã
Linha 146,Caxias do Sul
Linha 146,São Francisco de Paula
Linha 147,Candiota
Linha 149,São Leopoldo
Linha 150,Candiota
Linha 150,Hulha Negra
Linha 150,Bagé
Linha 151,Pinhal da Serra
Linha 152,Garibaldi
Linha 152,Farroupilha
Linha 153,Pinto Bandeira
Linha 153,Veranópolis
Linha 153,Farroupilha
Linha 154,Porto Alegre
Linha 156,Pinheiro Machado
Linha 156,Piratini
Linha 156,Candiota
Linha 156,Herval
Linha 156,Rio Grande
Linha 156,Arroio Grande
Linha 156,Pedras Altas
Linha 156,Pedro Osório
Linha 159,Uruguaiana
Linha 159,Alegrete
Linha 160,Eldorado do Sul
Linha 160,Guaíba
Linha 161,Uruguaiana
Linha 162,Sant'Ana do Livramento
Linha 163,Lajeado
Linha 163,Triunfo
Linha 163,Nova Santa Rita
Linha 163,Tabaí
Linha 163,Taquari
Linha 163,Bom Retiro do Sul
Linha 163,Montenegro
Linha 163,Cruzeiro do Sul
Linha 164,Canoas
Linha 164,Cachoeirinha
Linha 165,Triunfo
Linha 165,Sobradinho
Linha 165,Vale Verde
Linha 165,Vale do Sol
Linha 165,General Câmara
Linha 165,Arroio do Tigre
Linha 165,Ibarama
Linha 165,Taquari
Linha 165,Venâncio Aires
Linha 165,Pinhal Grande
Linha 165,Passa Sete
Linha 165,Passo do Sobrado
Linha 165,Estrela Velha
Linha 165,Montenegro
Linha 165,Candelária
Linha 165,Santa Cruz do Sul
Linha 165,Vera Cruz
Linha 166,Sant'Ana do Livramento
Linha 167,Vila Flores
Linha 167,Nova Prata
Linha 167,Vista Alegre do Prata
Linha 167,Casca
Linha 167,Fagundes Varela
Linha 167,Nova Bassano
Linha 167,Serafina Corrêa
Linha 168,Canoas
Linha 169,Itaqui
Linha 169,Alegrete
Linha 170,Sant'Ana do Livramento
Linha 171,Canoas
Linha 171,Nova Santa Rita
Linha 173,Pinheiro Machado
Linha 173,Canguçu
Linha 173,Cristal
Linha 173,Piratini
Linha 173,Candiota
Linha 173,Amaral Ferrador
Linha 173,Camaquã
Linha 174,Porto Alegre
Linha 175,Nova Roma do Sul
Linha 175,Capão Bonito do Sul
Linha 175,Capela de Santana
Linha 175,Nova Santa Rita
Linha 175,Antônio Prado
Linha 175,Lagoa Vermelha
Linha 175,Muitos Capões
Linha 175,Alto Feliz
Linha 175,Barracão
Linha 175,São Vendelino
Linha 175,Bom Princípio
Linha 175,São Sebastião do Caí
Linha 175,Farroupilha
Linha 175,Bento Gonçalves
Linha 175,Ipê
Linha 175,Carlos Barbosa
Linha 175,Feliz
Linha 176,Gravataí
Linha 176,Cachoeirinha
Linha 177,Entre Rios do Sul
Linha 177,Cruzaltense
Linha 177,Campinas do Sul
Linha 177,Sertão
Linha 177,Marau
Linha 177,Casca
Linha 177,Passo Fundo
Linha 177,Vila Maria
Linha 177,Mato Castelhano
Linha 177,Jacutinga
Linha 177,Quatro Irmãos
Linha 177,Coxilha
Linha 178,Guaíba
Linha 180,Lajeado
Linha 180,Gramado Xavier
Linha 180,Barros Cassal
Linha 180,Soledade
Linha 180,Lagoão
Linha 180,Jacuizinho
Linha 180,Venâncio Aires
Linha 180,Santa Clara do Sul
Linha 180,Boqueirão do Leão
Linha 180,Tunas
Linha 180,Salto do Jacuí
Linha 180,Sério
Linha 180,Cruzeiro do Sul
Linha 180,Mato Leitão
Linha 181,Gravataí
Linha 182,Triunfo
Linha 182,Nova Santa Rita
Linha 182,Eldorado do Sul
Linha 182,Charqueadas
Linha 183,Sant'Ana do Livramento
Linha 183,Itaqui
Linha 183,Alegrete
Linha 183,Quaraí
Linha 184,Gravataí
Linha 184,Viamão
Linha 184,Cachoeirinha
Linha 184,Porto Alegre
Linha 184,Alvorada
Linha 185,Machadinho
Linha 186,Pinto Bandeira
Linha 186,Veranópolis
Linha 186,Nova Roma do Sul
Linha 186,Flores da Cunha
Linha 186,Caxias do Sul
Linha 187,Vale Real
Linha 187,Caxias do Sul
Linha 187,Farroupilha
Linha 188,Canoas
Linha 188,Gravataí
Linha 188,Cachoeirinha
Linha 189,Itaqui
Linha 190,Itaqui
Linha 191,Charqueadas
Linha 192,Capão do Leão
Linha 192,Rio Grande
Linha 192,Pelotas
Linha 193,Triunfo
Linha 193,Nova Santa Rita
Linha 193,Gravataí
Linha 193,Sapucaia do Sul
Linha 193,Eldorado do Sul
Linha 193,Charqueadas
Linha 193,Montenegro
Linha 193,Portão
Linha 194,Canoas
Linha 194,Nova Santa Rita
Linha 194,Porto Alegre
Linha 195,Pinto Bandeira
Linha 195,Veranópolis
Linha 195,Bento Gonçalves
Linha 196,São José dos Ausentes
Linha 196,Cambará do Sul
Linha 196,Jaquirana
Linha 196,São Francisco de Paula
Linha 197,Gravataí
Linha 197,Glorinha
Linha 199,Canoas
Linha 204,Santo Antônio da Patrulha
Linha 204,Xangri-lá
Linha 204,Gravataí
Linha 204,Glorinha
Linha 204,Osório
Linha 205,São Luiz Gonzaga
Linha 205,Caibaté
Linha 205,Santo Ângelo
Linha 205,Vitória das Missões
Linha 207,Santa Maria
Linha 207,Dona Francisca
Linha 207,Nova Palma
Linha 207,Itaara
Linha 207,Silveira Martins
Linha 207,Faxinal do Soturno
Linha 207,Agudo
Linha 208,Triunfo
Linha 208,Nova Santa Rita
Linha 209,Caxias do Sul
Linha 209,Farroupilha
Linha 210,Gravataí
Linha 210,Viamão
Linha 210,Cachoeirinha
Linha 210,Alvorada
Linha 212,Candiota
Linha 212,Hulha Negra
Linha 212,Bagé
Linha 214,Roca Sales
Linha 214,Vespasiano Corrêa
Linha 214,Erebango
Linha 214,Nova Santa Rita
Linha 214,Sertão
Linha 214,Muçum
Linha 214,Brochier
Linha 214,Marau
Linha 214,União da Serra
Linha 214,Casca
Linha 214,Montauri
Linha 214,Dois Lajeados
Linha 214,Paulo Bento
Linha 214,Passo Fundo
Linha 214,Paverama
Linha 214,Westfália
Linha 214,Montenegro
Linha 214,Vila Maria
Linha 214,Imigrante
Linha 214,Serafina Corrêa
Linha 214,Poço das Antas
Linha 214,Estação
Linha 214,Mato Castelhano
Linha 214,Barão de Cotegipe
Linha 214,Guaporé
Linha 214,Boa Vista do Sul
Linha 214,Teutônia
Linha 214,Coronel Pilar
Linha 214,Quatro Irmãos
Linha 214,Coxilha
Linha 215,Porto Alegre
Linha 216,Entre-Ijuís
Linha 216,Júlio de Castilhos
Linha 216,São Martinho da Serra
Linha 216,Santa Maria
Linha 216,Santo Ângelo
Linha 216,Eugênio de Castro
Linha 216,Jóia
Linha 216,Tupanciretã
Linha 216,Quevedos
Linha 219,Triunfo
Linha 219,Canoas
Linha 219,Nova Santa Rita
Linha 219,Eldorado do Sul
Linha 219,Porto Alegre
Linha 224,Pinheiro Machado
Linha 224,Canguçu
Linha 224,Encruzilhada do Sul
Linha 224,Piratini
Linha 224,Candiota
Linha 224,Eldorado do Sul
Linha 224,São Jerônimo
Linha 224,Amaral Ferrador
Linha 224,Mariana Pimentel
Linha 224,Dom Feliciano
Linha 224,Arroio dos Ratos
Linha 224,Barão do Triunfo
Linha 225,Ijuí
Linha 225,Cruz Alta
Linha 225,Boa Vista do Cadeado
Linha 226,Flores da Cunha
Linha 226,Caxias do Sul
Linha 228,Erval Seco
Linha 229,Triunfo
Linha 229,Canoas
Linha 229,Nova Santa Rita
Linha 229,Taquari
Linha 229,Venâncio Aires
Linha 229,Montenegro
Linha 230,Garruchos
Linha 230,São Luiz Gonzaga
Linha 230,Caibaté
Linha 230,Rolador
Linha 230,Santo Antônio das Missões
Linha 230,São Nicolau
Linha 230,Santo Ângelo
Linha 230,Guarani das Missões
Linha 230,Mato Queimado
Linha 230,Dezesseis de Novembro
Linha 231,Rosário do Sul
Linha 231,Santa Maria
Linha 231,Sant'Ana do Livramento
Linha 231,Cacequi
Linha 231,São Gabriel
Linha 231,Dilermando de Aguiar
Linha 232,Capivari do Sul
Linha 232,Viamão
Linha 232,Alvorada
Linha 233,Garruchos
Linha 234,Lajeado do Bugre
Linha 234,Catuípe
Linha 234,Nova Ramada
Linha 234,Jaboticaba
Linha 234,Santo Ângelo
Linha 234,Trindade do Sul
Linha 234,Chiapetta
Linha 234,Palmeira das Missões
Linha 234,Cerro Grande
Linha 234,Liberato Salzano
Linha 234,Santo Augusto
Linha 234,Boa Vista das Missões
Linha 234,Coronel Bicaco
Linha 237,Flores da Cunha
Linha 237,Caxias do Sul
Linha 238,Gravataí
Linha 238,Campo Bom
Linha 238,Novo Hamburgo
Linha 239,Charqueadas
Linha 240,Triunfo
Linha 240,Montenegro
Linha 241,Água Santa
Linha 241,Lagoa Vermelha
Linha 241,Caseiros
Linha 241,Passo Fundo
Linha 241,Santa Cecília do Sul
Linha 241,Mato Castelhano
Linha 242,Canoas
Linha 242,Nova Santa Rita
Linha 242,Gravataí
Linha 242,Cachoeirinha
Linha 243,Lajeado
Linha 243,Estrela
Linha 244,São Borja
Linha 244,São Luiz Gonzaga
Linha 244,Santo Antônio das Missões
Linha 244,Bossoroca
Linha 245,Santa Vitória do Palmar
Linha 245,Rio Grande
Linha 246,Gravataí
Linha 246,Viamão
Linha 246,Cachoeirinha
Linha 246,Porto Alegre
Linha 246,Alvorada
Linha 247,Gravataí
Linha 248,Sobradinho
Linha 248,Arroio do Tigre
Linha 248,Ibarama
Linha 248,Pinhal Grande
Linha 248,Passa Sete
Linha 248,Estrela Velha
Linha 248,Candelária
Linha 249,Porto Alegre
Linha 250,Gramado Xavier
Linha 250,Barros Cassal
Linha 250,Lagoão
Linha 250,Jacuizinho
Linha 250,Venâncio Aires
Linha 250,Sinimbu
Linha 250,Boqueirão do Leão
Linha 250,Santa Cruz do Sul
Linha 250,Tunas
Linha 250,Salto do Jacuí
Linha 251,Vila Flores
Linha 251,Nova Prata
Linha 251,Vista Alegre do Prata
Linha 251,Casca
Linha 251,Fagundes Varela
Linha 251,Nova Bassano
Linha 251,Serafina Corrêa
Linha 252,Ivorá
Linha 252,Júlio de Castilhos
Linha 252,Santa Maria
Linha 252,Dona Francisca
Linha 252,Nova Palma
Linha 252,Itaara
Linha 252,Faxinal do Soturno
Linha 252,Agudo
Linha 253,Veranópolis
Linha 253,Bento Gonçalves
Linha 253,Cotiporã
Linha 254,Canoas
Linha 254,Porto Alegre
Linha 255,Vale Real
Linha 255,Ivoti
Linha 255,Campo Bom
Linha 255,Alto Feliz
Linha 255,São José do Hortêncio
Linha 255,Dois Irmãos
Linha 255,Caxias do Sul
Linha 255,Presidente Lucena
Linha 255,Farroupilha
Linha 255,Linha Nova
Linha 255,Feliz
Linha 256,Giruá
Linha 256,Santo Ângelo
Linha 256,Santa Rosa
Linha 257,Eldorado do Sul
Linha 257,Charqueadas
Linha 259,Nova Palma
Linha 259,Pinhal Grande
Linha 259,Estrela Velha
Linha 259,Agudo
Linha 260,Seberi
Linha 260,Erval Seco
Linha 260,Jaboticaba
Linha 260,Pinhal
Linha 260,Dois Irmãos das Missões
Linha 260,Liberato Salzano
Linha 260,Novo Tiradentes
Linha 261,Veranópolis
Linha 261,Vila Flores
Linha 261,Nova Prata
Linha 261,Fagundes Varela
Linha 262,Jacuizinho
Linha 262,Alto Alegre
Linha 262,Tapera
Linha 262,Campos Borges
Linha 262,Salto do Jacuí
Linha 262,Espumoso
Linha 263,Pinhal da Serra
Linha 264,Pinheiro Machado
Linha 264,Encruzilhada do Sul
Linha 264,Candiota
Linha 264,Cachoeira do Sul
Linha 264,Rio Pardo
Linha 264,Santa Cruz do Sul
Linha 264,Santana da Boa Vista
Linha 264,Vera Cruz
Linha 266,Lagoa dos Três Cantos
Linha 266,Não-Me-Toque
Linha 266,Tapera
Linha 266,Passo Fundo
Linha 266,Ernestina
Linha 266,Victor Graeff
Linha 267,São Vicente do Sul
Linha 267,Alegrete
Linha 268,Nova Santa Rita
Linha 268,São Leopoldo
Linha 268,Novo Hamburgo
Linha 268,Portão
