NM_MUN,Voltagem,Estado,Tipo,Linha
Nova Aurora,BASE,PR,base,BASE
Pato Branco,BASE,PR,base,BASE
General Carneiro,BASE,PR,base,BASE
Nova Santa Rosa,BASE,PR,base,BASE
Marquinho,BASE,PR,base,BASE
Luiziana,BASE,PR,base,BASE
Godoy Moreira,BASE,PR,base,BASE
Dois Vizinhos,BASE,PR,base,BASE
Nova Prata do Iguaçu,BASE,PR,base,BASE
Iracema do Oeste,BASE,PR,base,BASE
Guaratuba,BASE,PR,base,BASE
Nova Tebas,BASE,PR,base,BASE
São José dos Pinhais,BASE,PR,base,BASE
Honório Serpa,BASE,PR,base,BASE
Santa Lúcia,BASE,PR,base,BASE
Santa Izabel do Oeste,BASE,PR,base,BASE
Campo Largo,BASE,PR,base,BASE
Nova Cantu,BASE,PR,base,BASE
Cruz Machado,BASE,PR,base,BASE
Campo Magro,BASE,PR,base,BASE
Agudos do Sul,BASE,PR,base,BASE
Irati,BASE,PR,base,BASE
Alto Piquiri,BASE,PR,base,BASE
Ortigueira,BASE,PR,base,BASE
Rio Branco do Ivaí,BASE,PR,base,BASE
Paula Freitas,BASE,PR,base,BASE
Juranda,BASE,PR,base,BASE
Rio Bonito do Iguaçu,BASE,PR,base,BASE
Arapoti,BASE,PR,base,BASE
Bituruna,BASE,PR,base,BASE
Goioxim,BASE,PR,base,BASE
Ponta Grossa,BASE,PR,base,BASE
Três Barras do Paraná,BASE,PR,base,BASE
Formosa do Oeste,BASE,PR,base,BASE
Arapuã,BASE,PR,base,BASE
Missal,BASE,PR,base,BASE
Lindoeste,BASE,PR,base,BASE
Cafelândia,BASE,PR,base,BASE
São Jorge d'Oeste,BASE,PR,base,BASE
Guaraniaçu,BASE,PR,base,BASE
Reserva,BASE,PR,base,BASE
Reserva do Iguaçu,BASE,PR,base,BASE
Santa Helena,BASE,PR,base,BASE
Rio Branco do Sul,BASE,PR,base,BASE
Palmital,BASE,PR,base,BASE
Teixeira Soares,BASE,PR,base,BASE
Almirante Tamandaré,BASE,PR,base,BASE
Cerro Azul,BASE,PR,base,BASE
Coronel Vivida,BASE,PR,base,BASE
São João,BASE,PR,base,BASE
Altamira do Paraná,BASE,PR,base,BASE
Foz do Iguaçu,BASE,PR,base,BASE
Cruzeiro do Iguaçu,BASE,PR,base,BASE
Santa Tereza do Oeste,BASE,PR,base,BASE
Nova Laranjeiras,BASE,PR,base,BASE
Cascavel,BASE,PR,base,BASE
Pitanga,BASE,PR,base,BASE
Guarapuava,BASE,PR,base,BASE
Tupãssi,BASE,PR,base,BASE
Turvo,BASE,PR,base,BASE
Santa Terezinha de Itaipu,BASE,PR,base,BASE
Sulina,BASE,PR,base,BASE
Telêmaco Borba,BASE,PR,base,BASE
Porto Amazonas,BASE,PR,base,BASE
Mamborê,BASE,PR,base,BASE
Campina Grande do Sul,BASE,PR,base,BASE
Campo Bonito,BASE,PR,base,BASE
Araucária,BASE,PR,base,BASE
Ipiranga,BASE,PR,base,BASE
Mariópolis,BASE,PR,base,BASE
Céu Azul,BASE,PR,base,BASE
Ivaí,BASE,PR,base,BASE
Jesuítas,BASE,PR,base,BASE
Imbituva,BASE,PR,base,BASE
Capanema,BASE,PR,base,BASE
Manoel Ribas,BASE,PR,base,BASE
Tijucas do Sul,BASE,PR,base,BASE
Lapa,BASE,PR,base,BASE
Colombo,BASE,PR,base,BASE
Medianeira,BASE,PR,base,BASE
Sengés,BASE,PR,base,BASE
Rebouças,BASE,PR,base,BASE
Rio Azul,BASE,PR,base,BASE
Mercedes,BASE,PR,base,BASE
Palmas,BASE,PR,base,BASE
Fazenda Rio Grande,BASE,PR,base,BASE
Adrianópolis,BASE,PR,base,BASE
Catanduvas,BASE,PR,base,BASE
Corbélia,BASE,PR,base,BASE
Toledo,BASE,PR,base,BASE
Ivaiporã,BASE,PR,base,BASE
Inácio Martins,BASE,PR,base,BASE
Laranjeiras do Sul,BASE,PR,base,BASE
Marechal Cândido Rondon,BASE,PR,base,BASE
Capitão Leônidas Marques,BASE,PR,base,BASE
Piraí do Sul,BASE,PR,base,BASE
Carambeí,BASE,PR,base,BASE
Jaguariaíva,BASE,PR,base,BASE
Braganey,BASE,PR,base,BASE
Roncador,BASE,PR,base,BASE
São João do Triunfo,BASE,PR,base,BASE
Santa Maria do Oeste,BASE,PR,base,BASE
Palmeira,BASE,PR,base,BASE
União da Vitória,BASE,PR,base,BASE
Fernandes Pinheiro,BASE,PR,base,BASE
Ramilândia,BASE,PR,base,BASE
Salto do Lontra,BASE,PR,base,BASE
Coronel Domingos Soares,BASE,PR,base,BASE
São Mateus do Sul,BASE,PR,base,BASE
Paranaguá,BASE,PR,base,BASE
Itapejara d'Oeste,BASE,PR,base,BASE
Antonina,BASE,PR,base,BASE
Barbosa Ferraz,BASE,PR,base,BASE
Mandirituba,BASE,PR,base,BASE
Terra Roxa,BASE,PR,base,BASE
Piraquara,BASE,PR,base,BASE
Campo Mourão,BASE,PR,base,BASE
Quatro Pontes,BASE,PR,base,BASE
Boa Esperança do Iguaçu,BASE,PR,base,BASE
Itaperuçu,BASE,PR,base,BASE
Rosário do Ivaí,BASE,PR,base,BASE
Matelândia,BASE,PR,base,BASE
Boa Ventura de São Roque,BASE,PR,base,BASE
Pinhais,BASE,PR,base,BASE
Curitiba,BASE,PR,base,BASE
Paulo Frontin,BASE,PR,base,BASE
Grandes Rios,BASE,PR,base,BASE
Iretama,BASE,PR,base,BASE
Mallet,BASE,PR,base,BASE
Campina da Lagoa,BASE,PR,base,BASE
Ouro Verde do Oeste,BASE,PR,base,BASE
Quedas do Iguaçu,BASE,PR,base,BASE
Campina do Simão,BASE,PR,base,BASE
São Miguel do Iguaçu,BASE,PR,base,BASE
São Pedro do Iguaçu,BASE,PR,base,BASE
Tibagi,BASE,PR,base,BASE
Bocaiúva do Sul,BASE,PR,base,BASE
Mangueirinha,BASE,PR,base,BASE
Cândido de Abreu,BASE,PR,base,BASE
Iguatu,BASE,PR,base,BASE
Realeza,BASE,PR,base,BASE
Clevelândia,BASE,PR,base,BASE
Mato Rico,BASE,PR,base,BASE
Ubiratã,BASE,PR,base,BASE
Itaipulândia,BASE,PR,base,BASE
Guaíra,BASE,PR,base,BASE
Entre Rios do Oeste,BASE,PR,base,BASE
Saudade do Iguaçu,BASE,PR,base,BASE
Morretes,BASE,PR,base,BASE
Contenda,BASE,PR,base,BASE
Castro,BASE,PR,base,BASE
Ariranha do Ivaí,BASE,PR,base,BASE
Diamante D'Oeste,BASE,PR,base,BASE
Prudentópolis,BASE,PR,base,BASE
Balsa Nova,BASE,PR,base,BASE
São José das Palmeiras,BASE,PR,base,BASE
Vera Cruz do Oeste,BASE,PR,base,BASE
Pinhão,BASE,PR,base,BASE
Ventania,BASE,PR,base,BASE
Anahy,BASE,PR,base,BASE
Chopinzinho,BASE,PR,base,BASE
Santo Antônio do Palma,BASE,RS,base,BASE
Lajeado do Bugre,BASE,RS,base,BASE
Garibaldi,BASE,RS,base,BASE
Lajeado,BASE,RS,base,BASE
São Domingos do Sul,BASE,RS,base,BASE
Nova Petrópolis,BASE,RS,base,BASE
Seberi,BASE,RS,base,BASE
São Pedro da Serra,BASE,RS,base,BASE
Pinto Bandeira,BASE,RS,base,BASE
Torres,BASE,RS,base,BASE
Erval Seco,BASE,RS,base,BASE
Roca Sales,BASE,RS,base,BASE
Gramado,BASE,RS,base,BASE
Veranópolis,BASE,RS,base,BASE
São Luiz Gonzaga,BASE,RS,base,BASE
Vespasiano Corrêa,BASE,RS,base,BASE
Ijuí,BASE,RS,base,BASE
Vila Flores,BASE,RS,base,BASE
Gramado dos Loureiros,BASE,RS,base,BASE
Catuípe,BASE,RS,base,BASE
Vila Lângaro,BASE,RS,base,BASE
Gramado Xavier,BASE,RS,base,BASE
Entre Rios do Sul,BASE,RS,base,BASE
Sobradinho,BASE,RS,base,BASE
Nova Araçá,BASE,RS,base,BASE
Entre-Ijuís,BASE,RS,base,BASE
Erebango,BASE,RS,base,BASE
Nova Prata,BASE,RS,base,BASE
Nova Roma do Sul,BASE,RS,base,BASE
Caibaté,BASE,RS,base,BASE
Capão Bonito do Sul,BASE,RS,base,BASE
Esmeralda,BASE,RS,base,BASE
Nova Ramada,BASE,RS,base,BASE
Cruz Alta,BASE,RS,base,BASE
Itatiba do Sul,BASE,RS,base,BASE
Cruzaltense,BASE,RS,base,BASE
Barros Cassal,BASE,RS,base,BASE
Colinas,BASE,RS,base,BASE
Rolador,BASE,RS,base,BASE
Guabiju,BASE,RS,base,BASE
Vale Real,BASE,RS,base,BASE
Campinas do Sul,BASE,RS,base,BASE
Soledade,BASE,RS,base,BASE
São José dos Ausentes,BASE,RS,base,BASE
São Martinho,BASE,RS,base,BASE
Júlio de Castilhos,BASE,RS,base,BASE
Arroio do Tigre,BASE,RS,base,BASE
Lagoão,BASE,RS,base,BASE
São Martinho da Serra,BASE,RS,base,BASE
Antônio Prado,BASE,RS,base,BASE
Fortaleza dos Valos,BASE,RS,base,BASE
São Miguel das Missões,BASE,RS,base,BASE
Ibarama,BASE,RS,base,BASE
Lagoa dos Três Cantos,BASE,RS,base,BASE
Jaboticaba,BASE,RS,base,BASE
Santa Maria do Herval,BASE,RS,base,BASE
Jacuizinho,BASE,RS,base,BASE
Venâncio Aires,BASE,RS,base,BASE
Tapejara,BASE,RS,base,BASE
Dona Francisca,BASE,RS,base,BASE
Água Santa,BASE,RS,base,BASE
Lagoa Vermelha,BASE,RS,base,BASE
Sertão,BASE,RS,base,BASE
Muçum,BASE,RS,base,BASE
Muitos Capões,BASE,RS,base,BASE
Braga,BASE,RS,base,BASE
Sete de Setembro,BASE,RS,base,BASE
Frederico Westphalen,BASE,RS,base,BASE
Não-Me-Toque,BASE,RS,base,BASE
Brochier,BASE,RS,base,BASE
Nova Palma,BASE,RS,base,BASE
Pinhal,BASE,RS,base,BASE
Picada Café,BASE,RS,base,BASE
Três de Maio,BASE,RS,base,BASE
Vista Alegre do Prata,BASE,RS,base,BASE
Erval Grande,BASE,RS,base,BASE
Campo Novo,BASE,RS,base,BASE
Pinhal da Serra,BASE,RS,base,BASE
Pinhal Grande,BASE,RS,base,BASE
Alpestre,BASE,RS,base,BASE
Iraí,BASE,RS,base,BASE
Charrua,BASE,RS,base,BASE
Giruá,BASE,RS,base,BASE
Alto Feliz,BASE,RS,base,BASE
Passa Sete,BASE,RS,base,BASE
Alto Alegre,BASE,RS,base,BASE
Tapera,BASE,RS,base,BASE
Barracão,BASE,RS,base,BASE
Marau,BASE,RS,base,BASE
União da Serra,BASE,RS,base,BASE
Cambará do Sul,BASE,RS,base,BASE
São Jorge,BASE,RS,base,BASE
Santo Ângelo,BASE,RS,base,BASE
Casca,BASE,RS,base,BASE
São Vendelino,BASE,RS,base,BASE
São José do Hortêncio,BASE,RS,base,BASE
São José do Inhacorá,BASE,RS,base,BASE
Campestre da Serra,BASE,RS,base,BASE
Caseiros,BASE,RS,base,BASE
Dois Irmãos das Missões,BASE,RS,base,BASE
Sinimbu,BASE,RS,base,BASE
Guarani das Missões,BASE,RS,base,BASE
Flores da Cunha,BASE,RS,base,BASE
Bom Princípio,BASE,RS,base,BASE
Montauri,BASE,RS,base,BASE
Floriano Peixoto,BASE,RS,base,BASE
Dois Lajeados,BASE,RS,base,BASE
Trindade do Sul,BASE,RS,base,BASE
Monte Belo do Sul,BASE,RS,base,BASE
Chiapetta,BASE,RS,base,BASE
Paulo Bento,BASE,RS,base,BASE
Campos Borges,BASE,RS,base,BASE
Passo Fundo,BASE,RS,base,BASE
Vitória das Missões,BASE,RS,base,BASE
Ametista do Sul,BASE,RS,base,BASE
Paverama,BASE,RS,base,BASE
Westfália,BASE,RS,base,BASE
Redentora,BASE,RS,base,BASE
Santa Clara do Sul,BASE,RS,base,BASE
Santa Cecília do Sul,BASE,RS,base,BASE
Barra do Rio Azul,BASE,RS,base,BASE
Palmeira das Missões,BASE,RS,base,BASE
Estrela,BASE,RS,base,BASE
Santa Rosa,BASE,RS,base,BASE
Eugênio de Castro,BASE,RS,base,BASE
Estrela Velha,BASE,RS,base,BASE
Dom Pedro de Alcântara,BASE,RS,base,BASE
Ciríaco,BASE,RS,base,BASE
Candelária,BASE,RS,base,BASE
Santa Tereza,BASE,RS,base,BASE
Jaquirana,BASE,RS,base,BASE
Morro Reuter,BASE,RS,base,BASE
Fagundes Varela,BASE,RS,base,BASE
Boqueirão do Leão,BASE,RS,base,BASE
Jóia,BASE,RS,base,BASE
Vila Maria,BASE,RS,base,BASE
Três Cachoeiras,BASE,RS,base,BASE
Erechim,BASE,RS,base,BASE
Caxias do Sul,BASE,RS,base,BASE
Santa Cruz do Sul,BASE,RS,base,BASE
Benjamin Constant do Sul,BASE,RS,base,BASE
São José do Sul,BASE,RS,base,BASE
Ernestina,BASE,RS,base,BASE
Imigrante,BASE,RS,base,BASE
Cerro Grande,BASE,RS,base,BASE
Nova Bassano,BASE,RS,base,BASE
Presidente Lucena,BASE,RS,base,BASE
São Francisco de Paula,BASE,RS,base,BASE
Tunas,BASE,RS,base,BASE
Liberato Salzano,BASE,RS,base,BASE
Serafina Corrêa,BASE,RS,base,BASE
Salto do Jacuí,BASE,RS,base,BASE
Barão,BASE,RS,base,BASE
Farroupilha,BASE,RS,base,BASE
Gentil,BASE,RS,base,BASE
Planalto,BASE,RS,base,BASE
Linha Nova,BASE,RS,base,BASE
Novo Tiradentes,BASE,RS,base,BASE
Pontão,BASE,RS,base,BASE
Sério,BASE,RS,base,BASE
Três Coroas,BASE,RS,base,BASE
Poço das Antas,BASE,RS,base,BASE
Bento Gonçalves,BASE,RS,base,BASE
Espumoso,BASE,RS,base,BASE
Santo Augusto,BASE,RS,base,BASE
Cruzeiro do Sul,BASE,RS,base,BASE
Estação,BASE,RS,base,BASE
Faxinal do Soturno,BASE,RS,base,BASE
Mato Leitão,BASE,RS,base,BASE
Boa Vista das Missões,BASE,RS,base,BASE
Faxinalzinho,BASE,RS,base,BASE
Mato Castelhano,BASE,RS,base,BASE
Independência,BASE,RS,base,BASE
Cerro Largo,BASE,RS,base,BASE
Mato Queimado,BASE,RS,base,BASE
Salvador do Sul,BASE,RS,base,BASE
Alegria,BASE,RS,base,BASE
Ipê,BASE,RS,base,BASE
Machadinho,BASE,RS,base,BASE
Barão de Cotegipe,BASE,RS,base,BASE
Tupanciretã,BASE,RS,base,BASE
Carlos Barbosa,BASE,RS,base,BASE
